model,b,alpha,acc_val,acc_test,f1_val,f1_test,train_load,test_load
Fusion,1.0,0.1,1.0,1.0,1.0,1.0,0,0
Fusion,1.0,0.1,1.0,0.6283333333333333,1.0,0.5927130211579835,0,1
Fusion,1.0,0.1,1.0,0.6408333333333334,1.0,0.5877066236385826,0,2
Fusion,1.0,0.1,1.0,0.6358333333333334,1.0,0.5368707050847493,0,3
Fusion,1.0,0.1,1.0,0.6741666666666667,1.0,0.6356100557172677,1,0
Fusion,1.0,0.1,1.0,1.0,1.0,1.0,1,1
Fusion,1.0,0.1,1.0,0.8075,1.0,0.7564870873599246,1,2
Fusion,1.0,0.1,1.0,0.6858333333333333,1.0,0.6257286482859882,1,3
Fusion,1.0,0.1,1.0,0.6866666666666666,1.0,0.6402874520734682,2,0
Fusion,1.0,0.1,1.0,0.6291666666666667,1.0,0.5675194722914493,2,1
Fusion,1.0,0.1,1.0,1.0,1.0,1.0,2,2
Fusion,1.0,0.1,1.0,0.8966666666666666,1.0,0.8862769611596308,2,3
Fusion,1.0,0.1,1.0,0.7533333333333333,1.0,0.7195939545270258,3,0
Fusion,1.0,0.1,1.0,0.5691666666666667,1.0,0.5052082852311414,3,1
Fusion,1.0,0.1,1.0,0.9341666666666667,1.0,0.9300935240856791,3,2
Fusion,1.0,0.1,1.0,0.9983333333333333,1.0,0.9983332175845545,3,3
