alpha,acc_val,acc_test
1.000000000000000056e-01,9.687500000000000000e-01,9.699999999999999734e-01
2.000000000000000111e-01,9.687500000000000000e-01,9.649999999999999689e-01
2.999999999999999889e-01,9.749999999999999778e-01,9.649999999999999689e-01
4.000000000000000222e-01,9.812499999999999556e-01,9.649999999999999689e-01
5.000000000000000000e-01,9.625000000000000222e-01,9.649999999999999689e-01
5.999999999999999778e-01,9.499999999999999556e-01,9.499999999999999556e-01
6.999999999999999556e-01,9.312500000000000222e-01,9.350000000000000533e-01
8.000000000000000444e-01,9.000000000000000222e-01,9.050000000000000266e-01
9.000000000000000222e-01,8.874999999999999556e-01,8.549999999999999822e-01
