b,alpha,acc_val,acc_test
1,0.1,1.0,1.0
1,0.2,1.0,1.0
1,0.3,1.0,1.0
1,0.4,1.0,1.0
1,0.5,1.0,1.0
1,0.6,1.0,1.0
1,0.7,1.0,1.0
1,0.8,1.0,1.0
1,0.9,1.0,1.0
2,0.1,1.0,1.0
2,0.2,1.0,1.0
2,0.3,1.0,1.0
2,0.4,1.0,1.0
2,0.5,1.0,1.0
2,0.6,1.0,1.0
2,0.7,1.0,1.0
2,0.8,1.0,1.0
2,0.9,1.0,1.0
4,0.1,1.0,1.0
4,0.2,1.0,1.0
4,0.3,1.0,1.0
4,0.4,1.0,1.0
4,0.5,1.0,1.0
4,0.6,1.0,1.0
4,0.7,1.0,1.0
4,0.8,1.0,1.0
4,0.9,1.0,1.0
6,0.1,1.0,1.0
6,0.2,1.0,1.0
6,0.3,1.0,1.0
6,0.4,1.0,1.0
6,0.5,1.0,1.0
6,0.6,1.0,1.0
6,0.7,1.0,1.0
6,0.8,1.0,1.0
6,0.9,1.0,1.0
8,0.1,1.0,1.0
8,0.2,1.0,1.0
8,0.3,1.0,1.0
8,0.4,1.0,1.0
8,0.5,1.0,1.0
8,0.6,1.0,1.0
8,0.7,1.0,1.0
8,0.8,1.0,1.0
8,0.9,1.0,1.0
10,0.1,1.0,1.0
10,0.2,1.0,1.0
10,0.3,1.0,1.0
10,0.4,1.0,1.0
10,0.5,1.0,1.0
10,0.6,1.0,1.0
10,0.7,1.0,1.0
10,0.8,1.0,1.0
10,0.9,1.0,1.0
12,0.1,1.0,1.0
12,0.2,1.0,1.0
12,0.3,1.0,1.0
12,0.4,1.0,1.0
12,0.5,1.0,1.0
12,0.6,1.0,1.0
12,0.7,1.0,1.0
12,0.8,1.0,1.0
12,0.9,1.0,1.0
